Date,Close
5/11/2018 16:00:00,36.63
5/14/2018 16:00:00,35.96
5/15/2018 16:00:00,36.09
5/16/2018 16:00:00,36.94
5/17/2018 16:00:00,37.13
5/18/2018 16:00:00,37.15
5/21/2018 16:00:00,37.37
5/22/2018 16:00:00,36.39
5/23/2018 16:00:00,36.39
5/24/2018 16:00:00,36.68
5/25/2018 16:00:00,38.03
5/29/2018 16:00:00,37.31
5/30/2018 16:00:00,36.77
5/31/2018 16:00:00,36.69
6/1/2018 16:00:00,37.04
6/4/2018 16:00:00,37.91
6/5/2018 16:00:00,36.96
6/6/2018 16:00:00,37.21
6/7/2018 16:00:00,37.18
6/8/2018 16:00:00,37.05
6/11/2018 16:00:00,37.83
6/12/2018 16:00:00,37.64
6/13/2018 16:00:00,37.44
6/14/2018 16:00:00,38.17
6/15/2018 16:00:00,39.61
6/18/2018 16:00:00,39.42
6/19/2018 16:00:00,38.55
6/20/2018 16:00:00,38.79
6/21/2018 16:00:00,38.63
6/22/2018 16:00:00,38.6
6/25/2018 16:00:00,36.33
6/26/2018 16:00:00,35.59
6/27/2018 16:00:00,35.4
6/28/2018 16:00:00,35.37
6/29/2018 16:00:00,36.35
7/2/2018 16:00:00,37.12
7/3/2018 13:00:00,37.06
7/5/2018 16:00:00,37.5
7/6/2018 16:00:00,37.66
7/9/2018 16:00:00,37.88
7/10/2018 16:00:00,37.4
7/11/2018 16:00:00,36.13
7/12/2018 16:00:00,39.83
7/13/2018 16:00:00,41.02
7/16/2018 16:00:00,39.04
7/17/2018 16:00:00,40.06
7/18/2018 16:00:00,41.01
7/19/2018 16:00:00,40.49
7/20/2018 16:00:00,40.28
7/23/2018 16:00:00,41.64
7/24/2018 16:00:00,40.57
7/25/2018 16:00:00,41.41
7/26/2018 16:00:00,42.85
7/27/2018 16:00:00,42.94
7/30/2018 16:00:00,42.69
7/31/2018 16:00:00,43.44
8/1/2018 16:00:00,42.67
8/2/2018 16:00:00,43.11
8/3/2018 16:00:00,42.6
8/6/2018 16:00:00,43.31
8/7/2018 16:00:00,43.33
8/8/2018 16:00:00,43.88
8/9/2018 16:00:00,43.85
8/10/2018 16:00:00,43.94
8/13/2018 16:00:00,43.8
8/14/2018 16:00:00,44.55
8/15/2018 16:00:00,44.57
8/16/2018 16:00:00,43.9
8/17/2018 16:00:00,44.7
8/20/2018 16:00:00,45.86
8/21/2018 16:00:00,46.65
8/22/2018 16:00:00,45.2
8/23/2018 16:00:00,45.89
8/24/2018 16:00:00,45.65
8/27/2018 16:00:00,46.08
8/28/2018 16:00:00,47.22
8/29/2018 16:00:00,47.52
8/30/2018 16:00:00,47.55
8/31/2018 16:00:00,47.52
9/4/2018 16:00:00,47.85
9/5/2018 16:00:00,47.51
9/6/2018 16:00:00,47.5
9/7/2018 16:00:00,47.59
9/10/2018 16:00:00,48.27
9/11/2018 16:00:00,48.47
9/12/2018 16:00:00,48.79
9/13/2018 16:00:00,49.09
9/14/2018 16:00:00,49.2
9/17/2018 16:00:00,49.27
9/18/2018 16:00:00,48.33
9/19/2018 16:00:00,49.01
9/20/2018 16:00:00,48.48
9/21/2018 16:00:00,48.29
9/24/2018 16:00:00,46.45
9/25/2018 16:00:00,46.83
9/26/2018 16:00:00,47.27
9/27/2018 16:00:00,47.58
9/28/2018 16:00:00,46.97
10/1/2018 16:00:00,45.54
10/2/2018 16:00:00,44.54
10/3/2018 16:00:00,44.85
10/4/2018 16:00:00,44.43
10/5/2018 16:00:00,44.39
10/8/2018 16:00:00,43.95
10/9/2018 16:00:00,43.83
10/10/2018 16:00:00,44.91
10/11/2018 16:00:00,46.5
10/12/2018 16:00:00,47.07
10/15/2018 16:00:00,48.99
10/16/2018 16:00:00,50.37
10/17/2018 16:00:00,50.97
10/18/2018 16:00:00,49.8
10/19/2018 16:00:00,50.78
10/22/2018 16:00:00,51.03
10/23/2018 16:00:00,50.59
10/24/2018 16:00:00,47.69
10/25/2018 16:00:00,53.23
10/26/2018 16:00:00,52.52
10/29/2018 16:00:00,52.09
10/30/2018 16:00:00,52.76
10/31/2018 16:00:00,51.9
11/1/2018 16:00:00,52.38
11/2/2018 16:00:00,53.69
