Date,Close
5/11/2018 16:00:00,144.47
5/14/2018 16:00:00,142.64
5/15/2018 16:00:00,142.5
5/16/2018 16:00:00,142.28
5/17/2018 16:00:00,146.1
5/18/2018 16:00:00,147.06
5/21/2018 16:00:00,144.51
5/22/2018 16:00:00,138.75
5/23/2018 16:00:00,140.83
5/24/2018 16:00:00,143.05
5/25/2018 16:00:00,143.64
5/29/2018 16:00:00,143.29
5/30/2018 16:00:00,145.84
5/31/2018 16:00:00,148.09
6/1/2018 16:00:00,150.8
6/4/2018 16:00:00,156.91
6/5/2018 16:00:00,161.06
6/6/2018 16:00:00,165.36
6/7/2018 16:00:00,161.26
6/8/2018 16:00:00,162.81
6/11/2018 16:00:00,160.24
6/12/2018 16:00:00,165.24
6/13/2018 16:00:00,165.09
6/14/2018 16:00:00,167.94
6/15/2018 16:00:00,168.44
6/18/2018 16:00:00,172.84
6/19/2018 16:00:00,170.61
6/20/2018 16:00:00,172.25
6/21/2018 16:00:00,164.54
6/22/2018 16:00:00,162.53
6/25/2018 16:00:00,153.21
6/26/2018 16:00:00,155.01
6/27/2018 16:00:00,144.7
6/28/2018 16:00:00,146.55
6/29/2018 16:00:00,145.89
7/2/2018 16:00:00,149.42
7/3/2018 13:00:00,150.5
7/5/2018 16:00:00,152.68
7/6/2018 16:00:00,156.81
7/9/2018 16:00:00,158.45
7/10/2018 16:00:00,158.98
7/11/2018 16:00:00,160.98
7/12/2018 16:00:00,167.5
7/13/2018 16:00:00,166.18
7/16/2018 16:00:00,165.35
7/17/2018 16:00:00,169
7/18/2018 16:00:00,170.48
7/19/2018 16:00:00,171.75
7/20/2018 16:00:00,171.75
7/23/2018 16:00:00,173.26
7/24/2018 16:00:00,168.34
7/25/2018 16:00:00,173.78
7/26/2018 16:00:00,170.29
7/27/2018 16:00:00,160.15
7/30/2018 16:00:00,148.08
7/31/2018 16:00:00,138.21
8/1/2018 16:00:00,136.36
8/2/2018 16:00:00,143.92
8/3/2018 16:00:00,141.87
8/6/2018 16:00:00,142.04
8/7/2018 16:00:00,141.68
8/8/2018 16:00:00,142.7
8/9/2018 16:00:00,146.44
8/10/2018 16:00:00,149.22
8/13/2018 16:00:00,142.87
8/14/2018 16:00:00,144.38
8/15/2018 16:00:00,138.92
8/16/2018 16:00:00,139.16
8/17/2018 16:00:00,137.19
8/20/2018 16:00:00,135.97
8/21/2018 16:00:00,133.44
8/22/2018 16:00:00,137.63
8/23/2018 16:00:00,137.49
8/24/2018 16:00:00,140.58
8/27/2018 16:00:00,144.04
8/28/2018 16:00:00,145
8/29/2018 16:00:00,145.15
8/30/2018 16:00:00,144.81
8/31/2018 16:00:00,145.67
9/4/2018 16:00:00,146.34
9/5/2018 16:00:00,139.97
9/6/2018 16:00:00,134.13
9/7/2018 16:00:00,140.64
9/10/2018 16:00:00,142.13
9/11/2018 16:00:00,147.76
9/12/2018 16:00:00,153.13
9/13/2018 16:00:00,155.5
9/14/2018 16:00:00,154.77
9/17/2018 16:00:00,153.63
9/18/2018 16:00:00,162.28
9/19/2018 16:00:00,164.6
9/20/2018 16:00:00,167.17
9/21/2018 16:00:00,161.52
9/24/2018 16:00:00,162.18
9/25/2018 16:00:00,161.11
9/26/2018 16:00:00,162
9/27/2018 16:00:00,164.45
9/28/2018 16:00:00,164.46
10/1/2018 16:00:00,163.42
10/2/2018 16:00:00,156.6
10/3/2018 16:00:00,160.2
10/4/2018 16:00:00,148.91
10/5/2018 16:00:00,145.6
10/8/2018 16:00:00,140.49
10/9/2018 16:00:00,140.22
10/10/2018 16:00:00,130.1
10/11/2018 16:00:00,128.39
10/12/2018 16:00:00,135.2
10/15/2018 16:00:00,135.7
10/16/2018 16:00:00,145.83
10/17/2018 16:00:00,137.37
10/18/2018 16:00:00,134.78
10/19/2018 16:00:00,127.07
10/22/2018 16:00:00,134.37
10/23/2018 16:00:00,132.16
10/24/2018 16:00:00,122.27
10/25/2018 16:00:00,136.99
10/26/2018 16:00:00,132.95
10/29/2018 16:00:00,128.5
10/30/2018 16:00:00,129.14
10/31/2018 16:00:00,138.15
11/1/2018 16:00:00,144.35
11/2/2018 16:00:00,145.55
11/5/2018 16:00:00,141.03
11/6/2018 16:00:00,140.93
11/7/2018 16:00:00,148.19
11/8/2018 16:00:00,149.54
11/9/2018 16:00:00,140.9
11/12/2018 16:00:00,135.54
11/13/2018 16:00:00,138.78
11/14/2018 16:00:00,142.76
11/15/2018 16:00:00,150.09
11/16/2018 16:00:00,151.02
11/19/2018 16:00:00,133.75
11/20/2018 16:00:00,134.35
11/21/2018 16:00:00,132.61
11/23/2018 13:00:00,134.81
11/26/2018 16:00:00,144.44
11/27/2018 16:00:00,144.47
11/28/2018 16:00:00,149.96
11/29/2018 16:00:00,149.04
11/30/2018 16:00:00,152.66
12/3/2018 16:00:00,156.39
12/4/2018 16:00:00,150.2
12/6/2018 16:00:00,156.9
12/7/2018 16:00:00,146.88
12/10/2018 16:00:00,151.5
12/11/2018 16:00:00,154.67
12/12/2018 16:00:00,160.09
12/13/2018 16:00:00,161.06
12/14/2018 16:00:00,140.17
12/17/2018 16:00:00,129.66
12/18/2018 16:00:00,134.39
12/19/2018 16:00:00,133.19
12/20/2018 16:00:00,127.71
12/21/2018 16:00:00,122.41
12/24/2018 13:00:00,119.1
12/26/2018 16:00:00,130.21
12/27/2018 16:00:00,132.4
12/28/2018 16:00:00,133.46
12/31/2018 16:00:00,138.45
1/2/2019 16:00:00,137.6
1/3/2019 16:00:00,129.79
1/4/2019 16:00:00,138.06
1/7/2019 16:00:00,144.39
1/8/2019 16:00:00,145.44
1/9/2019 16:00:00,148.62
1/10/2019 16:00:00,148.27
1/11/2019 16:00:00,149.43
1/14/2019 16:00:00,149.1
1/15/2019 16:00:00,154.3
1/16/2019 16:00:00,158.25
1/17/2019 16:00:00,157.69
1/18/2019 16:00:00,158.43
1/22/2019 16:00:00,156.28
1/23/2019 16:00:00,156.6
1/24/2019 16:00:00,158.41
1/25/2019 16:00:00,162.82
1/28/2019 16:00:00,159.44
1/29/2019 16:00:00,157.11
1/30/2019 16:00:00,162.43
1/31/2019 16:00:00,168.47
2/1/2019 16:00:00,170.59
2/4/2019 16:00:00,173.55
2/5/2019 16:00:00,173.57
2/6/2019 16:00:00,173.6
2/7/2019 16:00:00,171.8
2/8/2019 16:00:00,175.95
2/11/2019 16:00:00,173.17
